timestamp,area,kpi,valor,meta,unidad,semaforo,desviacion_pct,alerta
2026-06-02T22:40:53.567121,Web,visitas_mensuales,45444,60000,sesiones,AMARILLO,-24.26,⚠️ Tráfico web bajo el umbral — revisar campañas y SEO
2026-06-02T22:40:53.567196,Web,tasa_conversion_web,3.9,4.0,%,VERDE,-2.5,
2026-06-02T22:40:53.567205,Web,bounce_rate,40.8,32,%,AMARILLO,27.5,⚠️ Bounce rate elevado — revisar experiencia y relevancia del contenido
2026-06-02T22:40:53.567211,Web,leads_generados,2595,2500,leads,VERDE,3.8,
2026-06-02T22:40:53.567218,Ops,sla_cumplimiento_pct,90.4,96,%,AMARILLO,-5.83,🔴 SLA comprometido — revisar operaciones y capacidad
2026-06-02T22:40:53.567224,Ops,tiempo_resolucion_h,4.7,3.0,horas,AMARILLO,56.67,⚠️ Tiempo de resolución fuera de SLA — reforzar equipo de CS
2026-06-02T22:40:53.567229,Tech,uptime_plataforma_pct,99.07,99.9,%,AMARILLO,-0.83,🔴 Disponibilidad de plataforma comprometida — escalada a CTO
2026-06-02T22:40:53.567241,Ops,costo_por_viaje_usd,1.97,1.57,USD,ROJO,25.48,⚠️ Costo por viaje elevado — revisar eficiencia operativa
2026-06-02T22:40:53.567247,CX,nps,70,72,puntos,VERDE,-2.78,
2026-06-02T22:40:53.567253,CX,csat,72.9,92,%,ROJO,-20.76,⚠️ Satisfacción del cliente baja — análisis de puntos de dolor
2026-06-02T22:40:53.567258,CX,churn_rate_mensual,2.43,2.2,%,VERDE,10.45,
2026-06-02T22:40:53.567263,CX,usuarios_activos_mensuales,338193,500000,usuarios,AMARILLO,-32.36,⚠️ MAU por debajo del objetivo — revisar activación y retención
2026-06-02T22:40:53.567267,Fin,revenue_total_usd,1112713,1250000,USD,AMARILLO,-10.98,🔴 Revenue bajo el objetivo — revisar pipeline comercial
2026-06-02T22:40:53.567271,Fin,cac_usd,8.35,7.5,USD,AMARILLO,11.33,⚠️ CAC elevado — optimizar canales de adquisición
2026-06-02T22:40:53.567276,Fin,ltv_promedio_usd,133.9,140,USD,VERDE,-4.36,
2026-06-02T22:40:53.567280,Fin,ebitda_pct,10.6,22,%,ROJO,-51.82,🔴 EBITDA bajo objetivo — revisar estructura de costos
2026-06-02T22:40:53.567284,Fin,roi_pct,21.4,28,%,AMARILLO,-23.57,⚠️ ROI insuficiente — revisar eficiencia de inversiones
2026-06-02T22:40:53.567288,Fin,margen_bruto_pct,45.0,48,%,VERDE,-6.25,
